id	title	production	length	presentation	youtube	links	embedding
2	Afrikai võlegény	1944	80	1944.01.31	1	https://youtu.be/ZjgAhacoPpY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZjgAhacoPpY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
3	Akit elkap az ár	1941		1942.01.15	0		
4	Alkalom	1942	76	1942.10.26	1		
5	András	1941		1941.04.29	0		
6	Annamária	1942	84	1943.02.01	0		
7	Az aranyember	1936	97	1936.12.18	1	https://www.youtube.com/watch?v=epvlowrlclM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/epvlowrlclM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8	Azurexpress	1938	70	1938.10.14	1	https://www.youtube.com/watch?v=3T9_cW2qAsg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/3T9_cW2qAsg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
9	Áll a bál	1939	97	1939.09.28	1		
10	Álomkeringõ	1942	86	1943.02.11	1	https://www.youtube.com/watch?v=pTU5MCpf65o	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pTU5MCpf65o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
11	Bajtársak	1942	79	1942.12.01	0	https://www.youtube.com/watch?v=GXdaT1woUDg&t=1073s	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GXdaT1woUDg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
12	Balkezes angyal	1940	77	1941.04.12	1	https://www.youtube.com/watch?v=qHXVYCT99gE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qHXVYCT99gE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
13	Beáta és az ördög	1940	89	1941.05.07	0		
14	Behajtani tilos!	1941	81	1942.02.12	1	https://www.youtube.com/watch?v=ZHKYt6INVxc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZHKYt6INVxc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
15	Bercsényi huszárok	1939	73	1940.01.04	1	https://www.youtube.com/watch?v=-aTyCmigiE0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-aTyCmigiE0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
16	A beszélõ köntös	1941	84	1942.02.21	1	https://www.youtube.com/watch?v=6KKhz6DLqJk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6KKhz6DLqJk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
17	Bob herceg	1941	82	1941.11.20	1	https://www.youtube.com/watch?v=tS3mXpUh3dI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tS3mXpUh3dI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
18	Boldoggá teszlek	1944	73		1	https://www.youtube.com/watch?v=HFkVh6pYMSk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HFkVh6pYMSk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19	A bor	1933	106	1933.09.28	0		
20	Borcsa Amerikában	1938	78	1938.08.16	1	https://www.youtube.com/watch?v=LnT03v9irmg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LnT03v9irmg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
21	Bûnös vagyok	1941	97	1942.06.03	1	https://www.youtube.com/watch?v=Z4hHwrO6oUA	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z4hHwrO6oUA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
22	Café Moszkva	1935	68	1936.02.13	1	https://www.youtube.com/watch?v=qMD8ndaspU0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qMD8ndaspU0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
23	Címzett ismeretlen	1935	81	1935.12.21	1	https://www.youtube.com/watch?v=gs37gWxHKC0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gs37gWxHKC0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
24	Csalódás	1942	77	1943.03.26	1	https://www.youtube.com/watch?v=xcu3UbTLIgQ	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xcu3UbTLIgQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
25	Csákó és kalap	1941	57	1941.08.21	1		
26	Cserebere	1940	81	1940.11.13	1		
27	Csókolj meg, édes!	1932	102	1932.03.05	1		
28	Dankó Pista	1940	88	1941.01.16	1	https://www.youtube.com/watch?v=uBKwxGXJveE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uBKwxGXJveE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
29	Döntõ pillanat	1938	68	1938.03.20	1	https://www.youtube.com/watch?v=Kn901-GizBo	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Kn901-GizBo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
30	dr. Kovács István	1941	94	1942.04.04	0	https://www.youtube.com/watch?v=KmGnvsv_bvI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KmGnvsv_bvI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
31	Duna-parti randevú	1936	64	1936.12.23	1	https://youtu.be/ZZdcSQAb1Q4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZZdcSQAb1Q4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
32	Egy asszony visszanéz	1941	109	1942.12.01	0	https://youtu.be/U2pN5984304	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/U2pN5984304"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
33	Egy csók és más semmi	1940	69	1941.01.15	1	https://youtu.be/87Iov1lpov0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/87Iov1lpov0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
34	Egy éj Velencében	1933	69	1934.01.12	1		
35	Egy éjszaka Erdélyben	1941	79	1941.11.19	1	https://youtu.be/O_y7dxhCIwU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/O_y7dxhCIwU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
36	Egy lány elindul	1937	72	1937.12.23	1		
37	Egy szoknya, egy nadrág	1943	75	1943.04.21	1	https://youtu.be/0Heu6uQevXs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0Heu6uQevXs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
38	Eladó birtok	1940	75	1941.01.03	1	https://youtu.be/F1VsBoC1QHo	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F1VsBoC1QHo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
39	Elkésett levél	1940	68	1941.03.20	1		
40	Az ellopott szerda	1933	73	1933.12.29	1		
41	Elnémult harangok	1940	91	1941.02.27	0		
43	Erdélyi kastély	1940	71	1940.03.07	1	https://youtu.be/3OAKUngDxAg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/3OAKUngDxAg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
44	Erzsébet királyné	1940	89	1940.09.05	1		
45	Európa nem válaszol	1941	93	1941.03.19	1	https://youtu.be/FLfrrSh95eQ	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FLfrrSh95eQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
46	Ez a villa eladó	1935	75	1935.04.10	1	https://youtu.be/Rw3hcdoNdPw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Rw3hcdoNdPw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
47	Ez történt Budapesten	1944	84	1944.06.05	1	https://youtu.be/GN_XMMMu22Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GN_XMMMu22Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
48	Édes ellenfél	1941	81	1941.05.22	1	https://youtu.be/quk74lwt7sk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/quk74lwt7sk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
49	Éjféli gyors	1942	66	1943.06.25	1		
50	Éjfélre kiderül	1942	76	1942.08.13	1		
51	Az éjszaka lánya	1942	77	1943.03.16	1		
52	Életre ítéltek!	1941	93	1941.11.17	1		
53	Az én lányom nem olyan	1937	78	1937.11.14	1	https://youtu.be/559fSU2OMkE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/559fSU2OMkE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
54	És a vakok látnak	1943	81	1944.03.30	1		
55	Fekete gyémántok	1938	77	1938.04.14	1	https://youtu.be/9ggPA8Q1Dtw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9ggPA8Q1Dtw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
56	Féltékenység	1943	68	1943.09.23	1		
57	Fény és árnyék	1943	91	1943.12.22	1	https://youtu.be/s5TUZdOM3bI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/s5TUZdOM3bI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
58	Férfihûség	1942	95	1942.10.23	1	https://youtu.be/nEteBajHYzM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nEteBajHYzM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
59	A férfi mind õrült	1937	83	1937.09.29	1	https://youtu.be/Z1hI0OHVo0k	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z1hI0OHVo0k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
60	Fizessen nagysád!	1937	65	1937.03.11	1	https://youtu.be/CDf1SoR-_F8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/CDf1SoR-_F8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
61	Fráter Lóránd	1942	62	1942.05.06	1	https://youtu.be/hpNFP87GxRs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hpNFP87GxRs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
62	Fûszer és csemege	1940	74	1940.01.29	1	https://youtu.be/D-0ZDN4FTGc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/D-0ZDN4FTGc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
63	Gentryfészek	1941	75	1942.09.11	1	https://youtu.be/dq5EdkhgFdI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dq5EdkhgFdI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
64	Gorodi fogoly	1940	62	1940.11.07	1		
65	Göre Gábor visszatér	1940	75	1940.03.13	1		
66	Gül baba	1940	105	1940.04.11	0	https://youtu.be/ni5Lo3VBsG4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ni5Lo3VBsG4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
67	Gyávaság	1942		1942.12.29	0		
68	Gyimesi vadvirág	1938	82	1939.01.12	0		
69	Gyurkovics fiúk	1940	89	1941.08.14	1		
70	Halálos tavasz	1939	93	1939.12.21	1	https://youtu.be/4rFzSH1iDi0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4rFzSH1iDi0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
72	A harmincadik	1942	91	1942.10.01	1	https://youtu.be/Sm2NT4yj4RM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Sm2NT4yj4RM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
73	Hat hét boldogság	1939	76	1939.11.23	1		
74	Havi 200 fix	1936	67	1936.09.10	1	https://youtu.be/RX5G_uMjjWE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RX5G_uMjjWE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
75	Hazafelé	1940	90	1940.09.18	0		
76	Hazajáró lélek	1940	88	1940.10.28	1	https://youtu.be/UOsm_JafyQw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/UOsm_JafyQw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
77	Háromszázezer pengõ az utcán	1937	67	1937.12.02	1	https://youtu.be/46PMHVz-3jI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/46PMHVz-3jI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
78	Házasság	1942	80	1942.09.16	1	https://youtu.be/zxX1OQ4sBB8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zxX1OQ4sBB8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
79	Hetenként egyszer láthatom	1937	67	1937.02.25	1	https://youtu.be/61RBeQawm8Q	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/61RBeQawm8Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
80	Hétszilvafa	1940	82	1940.12.05	1	https://youtu.be/LzmZgQ4Yi2Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LzmZgQ4Yi2Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
81	Hotel kikelet	1937	77	1937.08.19	1	https://youtu.be/iBen84JuBOg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/iBen84JuBOg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
82	A hölgy egy kissé bogaras	1938	76	1938.10.11	1	https://youtu.be/T167eUMHYPU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/T167eUMHYPU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
83	"A ""28-as"""	1943	70	1943.06.30	1		
84	Ida regénye	1934	76	1934.03.15	1	https://youtu.be/QlK-vvOgd1g	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QlK-vvOgd1g"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
85	Igen vagy nem?	1940	81	1940.09.26	0	https://youtu.be/_oO5Sps-IV8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_oO5Sps-IV8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
86	Az iglói diákok	1934	89	1935.02.21	1	https://youtu.be/ZGV-KlemBes	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZGV-KlemBes"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
87	Ismeretlen ellenfél	1940	80	1940.12.05	0		
88	Ítél a Balaton	1932	56	1933.03.02	1		
89	János vitéz	1938	78	1939.01.26	1	https://youtu.be/aAtgLN8ib48	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aAtgLN8ib48"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
90	Jelmezbál	1942	91	1942.08.05	0		
91	Jómadár	1943	84	1943.08.09	1		
92	Kadétszerelem	1942	90	1942.08.08	1		
93	Kalotaszegi madonna	1943	89	1944.01.26	1		
94	Karosszék	1939	79	1939.10.04	1	https://youtu.be/GqQx6NY4Sok	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GqQx6NY4Sok"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
95	Katyi	1942	85	1942.12.17	1	https://youtu.be/O-9ANAYu1Ls	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/O-9ANAYu1Ls"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
96	Kádár kontra Kerekes	1941	85	1942.04.20	0	https://youtu.be/whls5poq3Fg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/whls5poq3Fg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
97	Kerek Ferkó	1943	78	1943.11.02	1		
98	Keresztúton	1942	89	1942.11.19	1		
99	A két Bajthay	1944	95	1944.07.20	0		
100	Két lány az uccán	1939	75	1939.10.04	1	https://youtu.be/nVftJHM6vg4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nVftJHM6vg4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
101	Kétezerpengõs férfi	1942	78	1942.06.25	1	https://youtu.be/nfnDLV4JC5o	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nfnDLV4JC5o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
102	Kétszer kettõ	1944	67		1	https://youtu.be/x7OZDMzldHY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/x7OZDMzldHY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
103	Kísértés	1941	89	1942.01.14	1	https://youtu.be/aaQtW14mOb4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aaQtW14mOb4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
104	Kölcsönadott élet	1943	89	1943.08.10	1	https://youtu.be/E0B38sLYqnk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/E0B38sLYqnk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
105	Kölcsönkért férjek	1941	85	1942.02.27	0		
106	A kölcsönkért kastély	1937	84	1937.10.26	1	https://youtu.be/dMtRYvit9L8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dMtRYvit9L8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
107	Köszönöm, hogy elgázolt	1935	83	1935.03.14	1	https://youtu.be/6qs_SsWgNlY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6qs_SsWgNlY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
108	Külvárosi õrszoba	1942	85	1943.07.26	1	https://youtu.be/AbnFIGxDTXQ	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/AbnFIGxDTXQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
109	Lángok	1940	81	1941.10.23	1	https://youtu.be/2Hzi5DnXLDI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2Hzi5DnXLDI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
110	A láp virága	1942	81	1943.03.05	1		
111	A leányvári boszorkány	1938	79	1938.11.21	1		
112	Leányvásár	1941	86	1941.10.01	1	https://youtu.be/B3zhK_JLnbc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/B3zhK_JLnbc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
113	Lesz, ami lesz	1941	74	1941.07.03	1	https://youtu.be/770mxaLf9xY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/770mxaLf9xY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
114	Lila akác	1934	72	1934.09.06	1	https://youtu.be/OhPDnmT8CN4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/OhPDnmT8CN4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
115	Ma, tegnap, holnap	1941	96	1941.03.17	0		
116	Maga lesz a férjem	1937	75	1938.02.15	1	https://youtu.be/0xGvpdIO1nw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0xGvpdIO1nw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
117	Magdolna	1941	94	1942.03.18	1	https://youtu.be/n7a77Wi4wSk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/n7a77Wi4wSk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
119	Magyar sasok	1943	81	1944.05.25	1		
120	Mai lányok	1937	88	1937.11.19	1	https://youtu.be/mNmysRluqAw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mNmysRluqAw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
121	Makkhetes	1944	73	1944.08.18	1		
122	Marika	1937	79	1938.02.11	1	https://youtu.be/WLgifAxq6nc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WLgifAxq6nc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
