id	title	production	length	presentation	youtube	links	embedding
384	Három csengõ	1941	78	1941.08.14	1	https://youtu.be/KQUh0YJTj1Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KQUh0YJTj1Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
385	A három galamb	1944	77		1		
386	Három sárkány	1936	69	1936.10.29	1	https://youtu.be/FPUprYmPRnA	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/FPUprYmPRnA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
387	Háry János	1941	81	1941.09.25	1	https://youtu.be/b3r1TGIND_8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/b3r1TGIND_8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
388	Havasi napsütés	1941	92	1941.05.21	1		
389	Házassággal kezdõdik	1943	74	1943.03.21	1	https://youtu.be/jWLrQmFDKi0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jWLrQmFDKi0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
390	Helyet az öregeknek	1934	69	1934.11.29	1	https://youtu.be/ia_N9Zs_Cdw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ia_N9Zs_Cdw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
391	Heten, mint a gonoszok	1942	86	1943.05.13	1	https://youtu.be/lgsb8iZLils	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lgsb8iZLils"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
392	Hol alszunk vasárnap?	1937	60		0		
394	Hölgyek elõnyben	1939	92	1939.11.04	0		
395	Hyppolit, a lakáj	1931	72	1931.11.27	0	https://youtu.be/uT642jQzvfg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uT642jQzvfg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
396	Idegen utakon	1944	88	1944.06.01	0		
398	Isten rabjai	1942	89	1942.09.18	1		
399	Isten tenyerén	1939	81	1940.04.05	0		
400	Iza néni	1933	97		0		
401	Jöjjön elsején	1940	80	1940.03.20	0		
402	Kacagó asszony	1930		1930.12.04	0		
